Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Matt Robinson,MD,1,19,19,--,0,21,5,26,0,0,Defense
Nick Waisome,FSU,1,19,19,--,0,14,7,21,0,0,Defense
Anthony Nixon,MD,1,21,21,--,0,26,15,41,0,0,Defense
Rod Sweeting,GT,1,21,21,--,0,42,16,58,1,11,Defense
Isaiah Johnson,GT,1,22,22,--,1,53,34,87,1,9,Defense
Eddie Johnson,MIA,1,24,24,--,0,39,20,59,1,8,Defense
Dion Guy,UNC,1,25,25,--,0,26,27,53,1,3,Defense
Quandon Christian,CLEM,1,27,27,--,0,23,11,34,2,15,Defense
Lamarcus Joyner,FSU,1,33,33,--,0,27,24,51,0,0,Defense
Anthony Harris,UVA,1,37,37,--,0,48,39,87,0,0,Defense
Detrick Bonner,VT,1,39,39,--,0,41,19,60,1,8,Defense
Denzel Perryman,MIA,1,41,41,--,1,45,19,64,0,0,Defense
Karlos Williams,FSU,1,41,41,--,0,25,6,31,0,0,Defense
Brooks Abbott,VT,0,0,0,--,0,3,2,5,0,0,Defense
Mehdi Abdesmad,BC,0,0,0,--,0,10,15,25,0,0,Defense
Oday Aboushi,UVA,0,0,0,--,0,1,0,1,0,0,Defense
Chad Abram,FSU,0,0,0,--,0,3,2,5,0,0,Defense
Zachary Allen,WF,0,0,0,--,0,24,18,42,0,0,Defense
Justin Anderson,MD,0,0,0,--,0,3,3,6,0,0,Defense
Jackson Anderson,DUKE,0,0,0,--,0,0,1,1,0,0,Defense
Kenny Anunike,DUKE,0,0,0,--,0,16,28,44,5,38,Defense
Dominic Appiah,BC,0,0,0,--,0,9,9,18,0,0,Defense
Thurston Armbrister,MIA,0,0,0,--,0,25,15,40,0,0,Defense
Kevin Asante,VT,0,0,0,--,0,1,0,1,0,0,Defense
Jeremiah Attaochu,GT,0,0,0,--,0,44,25,69,10,67,Defense
Morgan Bailey,GT,0,0,0,--,0,1,0,1,0,0,Defense
Tavaris Barnes,CLEM,0,0,0,--,0,6,12,18,1,14,Defense
T.J. Barnes,GT,0,0,0,--,0,12,16,28,1.5,4,Defense
Casey Barth,UNC,0,0,0,--,0,2,1,3,0,0,Defense
LoVante Battle,UVA,0,0,0,--,0,1,0,1,0,0,Defense
David Beasley,CLEM,0,0,0,--,0,1,0,1,0,0,Defense
Vic Beasley,CLEM,0,0,0,--,0,12,2,14,8,55,Defense
Riley Beiro,VT,0,0,0,--,0,0,1,1,0,0,Defense
