Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Lamar Jackson,LOU,126,21,21,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
James Conner,PITT,122,20,16,4,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Dalvin Cook,FSU,120,20,19,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Joey Slye,VT,118,0,0,0,0,0,0,0,0,0,0,58/59,20/27,0,0,Scoring
Michael Badgley,MIA,116,0,0,0,0,0,0,0,0,0,0,53/55,21/26,0,0,Scoring
Greg Huegel,CLEM,113,0,0,0,0,0,0,0,0,0,0,71/73,14/19,0,0,Scoring
Ricky Aguayo,FSU,108,0,0,0,0,0,0,0,0,0,0,51/52,19/26,0,0,Scoring
Wayne Gallman,CLEM,102,17,17,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Chris Blewitt,PITT,96,0,0,0,0,0,0,0,0,0,0,66/69,17-Oct,0,0,Scoring
Nick Weiler,UNC,96,0,0,0,0,0,0,0,0,0,0,51/52,15/21,0,0,Scoring
Harrison Butker,GT,91,0,0,0,0,0,0,0,0,0,0,46/46,15/17,0,0,Scoring
Mike Weaver,WF,91,0,0,0,0,0,0,0,0,0,0,28/28,21/27,0,0,Scoring
Mark Walton,MIA,90,15,14,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Blanton Creque,LOU,87,0,0,0,0,0,0,0,0,0,0,39/40,16/19,0,0,Scoring
Amba Etta-Tawo,SYR,84,14,0,14,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Dedrick Mills,GT,78,13,12,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jaylen Samuels,NCST,78,13,6,7,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jerod Evans,VT,72,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
T.J. Logan,UNC,72,12,7,3,2,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
